timestamp,NO2_GM,C2H5OH_GM,VOC_GM,CO_GM,CO_MiCS,C2H5OH_MiCS,VOC_MiCS
0.0,0.985,0.732,0.581,0.071,1.875,1.12,0.512
0.25,0.985,0.732,0.578,0.071,1.835,1.089,0.5
0.5,0.986,0.732,0.576,0.07,1.835,1.089,0.5
0.75,0.985,0.732,0.57,0.07,1.855,1.104,0.506
1.0,0.985,0.731,0.564,0.07,1.895,1.136,0.518
1.25,0.984,0.731,0.557,0.07,1.875,1.12,0.512
1.5,0.985,0.732,0.556,0.07,1.855,1.104,0.506
1.75,0.985,0.732,0.554,0.069,1.855,1.104,0.506
2.0,0.984,0.732,0.552,0.069,1.855,1.104,0.506
2.25,0.985,0.732,0.551,0.069,1.835,1.089,0.5
2.5,0.985,0.732,0.55,0.069,1.815,1.073,0.494
2.75,0.986,0.732,0.549,0.069,1.855,1.104,0.506
3.0,0.985,0.732,0.549,0.069,1.815,1.073,0.494
3.25,0.984,0.732,0.548,0.069,1.875,1.12,0.512
3.5,0.984,0.731,0.546,0.068,1.815,1.073,0.494
3.75,0.983,0.733,0.546,0.069,1.835,1.089,0.5
4.0,0.985,0.733,0.546,0.069,1.875,1.12,0.512
4.25,0.985,0.733,0.544,0.068,1.875,1.12,0.512
4.5,0.985,0.733,0.542,0.068,1.875,1.12,0.512
4.75,0.985,0.734,0.542,0.069,1.875,1.12,0.512
5.0,0.985,0.733,0.542,0.069,1.855,1.104,0.506
5.25,0.985,0.733,0.541,0.069,1.855,1.104,0.506
5.5,0.985,0.733,0.542,0.069,1.815,1.073,0.494
5.75,0.985,0.733,0.541,0.069,1.855,1.104,0.506
6.0,0.985,0.733,0.54,0.069,1.815,1.073,0.494
6.25,0.985,0.733,0.54,0.069,1.855,1.104,0.506
6.5,0.985,0.733,0.54,0.069,1.835,1.089,0.5
6.75,0.985,0.733,0.538,0.069,1.855,1.104,0.506
7.0,0.986,0.733,0.538,0.069,1.875,1.12,0.512
7.25,0.985,0.733,0.537,0.069,1.915,1.152,0.525
7.5,0.985,0.733,0.536,0.069,1.875,1.12,0.512
7.75,0.985,0.733,0.535,0.069,1.855,1.104,0.506
