timestamp,NO2_GM,C2H5OH_GM,VOC_GM,CO_GM,CO_MiCS,C2H5OH_MiCS,VOC_MiCS
0.0,1.01,0.712,0.57,0.077,1.218,0.637,0.314
0.25,1.01,0.712,0.57,0.077,1.218,0.637,0.314
0.5,1.011,0.713,0.57,0.076,1.218,0.637,0.314
0.75,1.009,0.712,0.571,0.076,1.166,0.602,0.299
1.0,1.01,0.712,0.572,0.075,1.218,0.637,0.314
1.25,1.01,0.711,0.571,0.075,1.235,0.649,0.319
1.5,1.009,0.711,0.569,0.074,1.324,0.711,0.345
1.75,1.01,0.712,0.569,0.074,1.433,0.788,0.378
2.0,1.009,0.712,0.567,0.073,1.469,0.814,0.389
2.25,1.009,0.711,0.567,0.073,1.488,0.828,0.394
2.5,1.009,0.711,0.567,0.073,1.507,0.842,0.4
2.75,1.007,0.712,0.567,0.073,1.507,0.842,0.4
3.0,1.009,0.712,0.567,0.072,1.544,0.869,0.411
3.25,1.007,0.711,0.568,0.073,1.544,0.869,0.411
3.5,1.008,0.711,0.567,0.073,1.563,0.883,0.417
3.75,1.009,0.713,0.568,0.073,1.563,0.883,0.417
4.0,1.009,0.713,0.569,0.073,1.563,0.883,0.417
4.25,1.007,0.712,0.569,0.074,1.582,0.897,0.422
4.5,1.009,0.713,0.569,0.072,1.582,0.897,0.422
4.75,1.008,0.711,0.57,0.073,1.582,0.897,0.422
5.0,1.009,0.712,0.569,0.074,1.582,0.897,0.422
5.25,1.009,0.712,0.569,0.072,1.582,0.897,0.422
5.5,1.007,0.713,0.569,0.072,1.601,0.911,0.428
5.75,1.009,0.713,0.57,0.073,1.601,0.911,0.428
6.0,1.008,0.713,0.57,0.073,1.601,0.911,0.428
6.25,1.007,0.712,0.569,0.073,1.601,0.911,0.428
6.5,1.009,0.712,0.57,0.073,1.601,0.911,0.428
6.75,1.009,0.712,0.57,0.073,1.582,0.897,0.422
7.0,1.01,0.713,0.57,0.073,1.601,0.911,0.428
7.25,1.007,0.714,0.57,0.072,1.601,0.911,0.428
7.5,1.008,0.713,0.57,0.072,1.601,0.911,0.428
7.75,1.007,0.713,0.57,0.073,1.601,0.911,0.428
8.0,1.007,0.713,0.57,0.072,1.601,0.911,0.428
8.25,1.007,0.713,0.57,0.072,1.62,0.925,0.434
8.5,1.009,0.713,0.57,0.072,1.601,0.911,0.428
8.75,1.007,0.713,0.57,0.072,1.601,0.911,0.428
9.0,1.007,0.714,0.571,0.073,1.601,0.911,0.428
9.25,1.008,0.713,0.57,0.073,1.601,0.911,0.428
9.5,1.009,0.714,0.57,0.072,1.601,0.911,0.428
9.75,1.007,0.713,0.572,0.073,1.601,0.911,0.428
10.0,1.008,0.714,0.572,0.072,1.601,0.911,0.428
10.25,1.007,0.713,0.572,0.073,1.601,0.911,0.428
10.5,1.007,0.714,0.572,0.073,1.62,0.925,0.434
10.75,1.009,0.714,0.57,0.072,1.62,0.925,0.434
11.0,1.007,0.713,0.571,0.072,1.601,0.911,0.428
11.25,1.008,0.714,0.571,0.072,1.62,0.925,0.434
11.5,1.007,0.714,0.571,0.072,1.582,0.897,0.422
11.75,1.006,0.713,0.572,0.072,1.601,0.911,0.428
12.0,1.006,0.714,0.571,0.072,1.582,0.897,0.422
12.25,1.008,0.713,0.572,0.072,1.601,0.911,0.428
12.5,1.008,0.713,0.572,0.073,1.601,0.911,0.428
12.75,1.007,0.713,0.572,0.072,1.601,0.911,0.428
13.0,1.009,0.713,0.572,0.072,1.639,0.94,0.44
13.25,1.007,0.713,0.572,0.072,1.62,0.925,0.434
13.5,1.009,0.714,0.573,0.073,1.601,0.911,0.428
13.75,1.007,0.713,0.572,0.072,1.62,0.925,0.434
14.0,1.008,0.714,0.572,0.072,1.62,0.925,0.434
14.25,1.007,0.714,0.572,0.072,1.62,0.925,0.434
14.5,1.008,0.713,0.573,0.072,1.62,0.925,0.434
14.75,1.007,0.716,0.572,0.073,1.62,0.925,0.434
15.0,1.008,0.715,0.572,0.072,1.62,0.925,0.434
15.25,1.006,0.713,0.573,0.072,1.639,0.94,0.44
15.5,1.007,0.714,0.573,0.073,1.658,0.954,0.446
15.75,1.007,0.714,0.573,0.073,1.639,0.94,0.44
16.0,1.007,0.714,0.573,0.072,1.639,0.94,0.44
16.25,1.007,0.713,0.573,0.073,1.639,0.94,0.44
16.5,1.007,0.714,0.574,0.073,1.639,0.94,0.44
16.75,1.007,0.714,0.576,0.073,1.639,0.94,0.44
17.0,1.007,0.714,0.574,0.073,1.658,0.954,0.446
17.25,1.006,0.714,0.573,0.073,1.658,0.954,0.446
17.5,1.007,0.714,0.576,0.073,1.658,0.954,0.446
17.75,1.006,0.714,0.576,0.073,1.639,0.94,0.44
18.0,1.007,0.714,0.576,0.073,1.658,0.954,0.446
18.25,1.007,0.714,0.576,0.072,1.658,0.954,0.446
18.5,1.007,0.714,0.576,0.073,1.658,0.954,0.446
18.75,1.007,0.714,0.576,0.073,1.658,0.954,0.446
19.0,1.009,0.715,0.577,0.073,1.678,0.969,0.451
19.25,1.007,0.714,0.576,0.073,1.678,0.969,0.451
19.5,1.007,0.714,0.577,0.073,1.658,0.954,0.446
19.75,1.006,0.714,0.576,0.073,1.658,0.954,0.446
20.0,1.005,0.714,0.577,0.072,1.639,0.94,0.44
20.25,1.007,0.714,0.576,0.073,1.658,0.954,0.446
20.5,1.006,0.715,0.576,0.074,1.639,0.94,0.44
20.75,1.007,0.714,0.577,0.073,1.658,0.954,0.446
21.0,1.007,0.716,0.578,0.074,1.678,0.969,0.451
21.25,1.006,0.714,0.577,0.074,1.678,0.969,0.451
21.5,1.007,0.714,0.577,0.073,1.678,0.969,0.451
21.75,1.006,0.715,0.577,0.074,1.678,0.969,0.451
22.0,1.007,0.714,0.578,0.073,1.678,0.969,0.451
22.25,1.006,0.714,0.578,0.073,1.678,0.969,0.451
22.5,1.009,0.716,0.578,0.074,1.678,0.969,0.451
22.75,1.007,0.716,0.58,0.074,1.697,0.983,0.457
23.0,1.005,0.714,0.578,0.073,1.678,0.969,0.451
23.25,1.007,0.714,0.578,0.074,1.678,0.969,0.451
23.5,1.005,0.715,0.578,0.074,1.678,0.969,0.451
23.75,1.007,0.716,0.58,0.074,1.697,0.983,0.457
24.0,1.006,0.716,0.58,0.074,1.697,0.983,0.457
24.25,1.006,0.715,0.58,0.074,1.678,0.969,0.451
24.5,1.007,0.716,0.58,0.073,1.697,0.983,0.457
24.75,1.006,0.715,0.579,0.073,1.697,0.983,0.457
25.0,1.007,0.716,0.58,0.074,1.697,0.983,0.457
25.25,1.007,0.715,0.58,0.074,1.697,0.983,0.457
25.5,1.007,0.714,0.578,0.074,1.697,0.983,0.457
25.75,1.007,0.715,0.58,0.074,1.697,0.983,0.457
26.0,1.006,0.716,0.58,0.074,1.716,0.998,0.463
26.25,1.006,0.716,0.58,0.074,1.697,0.983,0.457
26.5,1.007,0.716,0.581,0.074,1.716,0.998,0.463
26.75,1.007,0.717,0.582,0.074,1.697,0.983,0.457
27.0,1.007,0.716,0.582,0.074,1.716,0.998,0.463
27.25,1.006,0.716,0.582,0.074,1.697,0.983,0.457
27.5,1.008,0.715,0.582,0.074,1.716,0.998,0.463
27.75,1.007,0.716,0.583,0.075,1.716,0.998,0.463
28.0,1.007,0.717,0.583,0.074,1.716,0.998,0.463
28.25,1.007,0.716,0.583,0.074,1.736,1.013,0.469
28.5,1.007,0.716,0.583,0.074,1.736,1.013,0.469
28.75,1.006,0.715,0.583,0.074,1.736,1.013,0.469
29.0,1.006,0.717,0.583,0.074,1.736,1.013,0.469
29.25,1.006,0.717,0.583,0.074,1.736,1.013,0.469
29.5,1.007,0.716,0.583,0.074,1.736,1.013,0.469
29.75,1.006,0.717,0.582,0.074,1.736,1.013,0.469
30.0,1.006,0.716,0.583,0.075,1.716,0.998,0.463
30.25,1.007,0.717,0.583,0.074,1.736,1.013,0.469
30.5,1.006,0.717,0.583,0.075,1.736,1.013,0.469
30.75,1.006,0.717,0.585,0.074,1.736,1.013,0.469
31.0,1.007,0.716,0.586,0.074,1.716,0.998,0.463
31.25,1.006,0.717,0.586,0.075,1.736,1.013,0.469
31.5,1.007,0.717,0.585,0.074,1.736,1.013,0.469
31.75,1.007,0.716,0.585,0.074,1.716,0.998,0.463
32.0,1.006,0.716,0.585,0.074,1.736,1.013,0.469
32.25,1.006,0.717,0.585,0.074,1.736,1.013,0.469
32.5,1.006,0.717,0.585,0.074,1.736,1.013,0.469
32.75,1.006,0.718,0.586,0.074,1.736,1.013,0.469
33.0,1.007,0.717,0.586,0.075,1.736,1.013,0.469
33.25,1.008,0.718,0.586,0.074,1.736,1.013,0.469
33.5,1.006,0.717,0.586,0.075,1.755,1.028,0.475
33.75,1.005,0.717,0.586,0.075,1.736,1.013,0.469
34.0,1.005,0.717,0.586,0.074,1.736,1.013,0.469
34.25,1.006,0.717,0.588,0.075,1.755,1.028,0.475
34.5,1.006,0.717,0.586,0.075,1.755,1.028,0.475
