timestamp,NO2_GM,C2H5OH_GM,VOC_GM,CO_GM,CO_MiCS,C2H5OH_MiCS,VOC_MiCS
0.0,0.93,0.679,0.553,0.078,2.48,1.615,0.703
0.25,0.93,0.679,0.553,0.078,2.513,1.643,0.714
0.5,0.93,0.679,0.554,0.078,2.48,1.615,0.703
0.75,0.931,0.679,0.554,0.079,2.513,1.643,0.714
1.0,0.931,0.679,0.556,0.079,2.513,1.643,0.714
1.25,0.931,0.68,0.554,0.08,2.513,1.643,0.714
1.5,0.931,0.679,0.557,0.079,2.513,1.643,0.714
1.75,0.931,0.679,0.557,0.079,2.513,1.643,0.714
2.0,0.931,0.679,0.557,0.079,2.48,1.615,0.703
2.25,0.93,0.679,0.557,0.079,2.513,1.643,0.714
2.5,0.931,0.68,0.557,0.08,2.48,1.615,0.703
2.75,0.931,0.679,0.558,0.08,2.513,1.643,0.714
3.0,0.931,0.679,0.559,0.08,2.513,1.643,0.714
3.25,0.932,0.68,0.558,0.08,2.513,1.643,0.714
3.5,0.932,0.68,0.56,0.08,2.513,1.643,0.714
3.75,0.931,0.68,0.559,0.08,2.48,1.615,0.703
4.0,0.932,0.68,0.559,0.08,2.513,1.643,0.714
4.25,0.931,0.679,0.561,0.08,2.513,1.643,0.714
4.5,0.932,0.68,0.561,0.08,2.513,1.643,0.714
4.75,0.931,0.68,0.561,0.08,2.547,1.672,0.725
5.0,0.931,0.68,0.561,0.08,2.547,1.672,0.725
5.25,0.932,0.68,0.562,0.08,2.513,1.643,0.714
5.5,0.932,0.68,0.562,0.08,2.513,1.643,0.714
5.75,0.932,0.68,0.564,0.081,2.547,1.672,0.725
6.0,0.932,0.68,0.564,0.08,2.513,1.643,0.714
6.25,0.931,0.679,0.564,0.081,2.513,1.643,0.714
6.5,0.932,0.68,0.564,0.081,2.547,1.672,0.725
6.75,0.931,0.68,0.564,0.081,2.547,1.672,0.725
7.0,0.932,0.68,0.565,0.081,2.547,1.672,0.725
7.25,0.931,0.679,0.565,0.08,2.513,1.643,0.714
7.5,0.932,0.681,0.565,0.081,2.547,1.672,0.725
7.75,0.931,0.681,0.566,0.081,2.513,1.643,0.714
8.0,0.932,0.68,0.566,0.081,2.513,1.643,0.714
8.25,0.932,0.681,0.566,0.081,2.547,1.672,0.725
8.5,0.932,0.68,0.566,0.081,2.547,1.672,0.725
8.75,0.931,0.681,0.567,0.081,2.547,1.672,0.725
9.0,0.932,0.681,0.567,0.082,2.547,1.672,0.725
9.25,0.932,0.681,0.567,0.082,2.547,1.672,0.725
9.5,0.932,0.681,0.568,0.082,2.547,1.672,0.725
9.75,0.932,0.68,0.569,0.082,2.547,1.672,0.725
10.0,0.932,0.681,0.568,0.082,2.446,1.586,0.692
10.25,0.932,0.681,0.569,0.082,2.547,1.672,0.725
10.5,0.932,0.681,0.57,0.083,2.547,1.672,0.725
10.75,0.932,0.681,0.569,0.082,2.547,1.672,0.725
11.0,0.932,0.681,0.57,0.082,2.547,1.672,0.725
11.25,0.932,0.681,0.57,0.082,2.547,1.672,0.725
11.5,0.932,0.68,0.57,0.082,2.547,1.672,0.725
11.75,0.932,0.681,0.57,0.082,2.547,1.672,0.725
12.0,0.933,0.681,0.57,0.082,2.547,1.672,0.725
12.25,0.932,0.681,0.571,0.082,2.581,1.701,0.736
12.5,0.932,0.681,0.572,0.083,2.547,1.672,0.725
12.75,0.932,0.681,0.572,0.082,2.547,1.672,0.725
13.0,0.932,0.681,0.572,0.082,2.547,1.672,0.725
13.25,0.932,0.682,0.572,0.082,2.547,1.672,0.725
13.5,0.932,0.681,0.572,0.083,2.547,1.672,0.725
13.75,0.932,0.681,0.573,0.083,2.581,1.701,0.736
14.0,0.933,0.681,0.573,0.082,2.547,1.672,0.725
14.25,0.932,0.681,0.573,0.082,2.581,1.701,0.736
14.5,0.932,0.681,0.573,0.083,2.581,1.701,0.736
14.75,0.932,0.681,0.573,0.083,2.547,1.672,0.725
15.0,0.932,0.682,0.573,0.083,2.547,1.672,0.725
15.25,0.932,0.681,0.573,0.083,2.581,1.701,0.736
15.5,0.932,0.681,0.574,0.083,2.615,1.731,0.747
15.75,0.932,0.682,0.576,0.083,2.581,1.701,0.736
16.0,0.932,0.681,0.574,0.083,2.547,1.672,0.725
16.25,0.932,0.681,0.576,0.083,2.581,1.701,0.736
16.5,0.932,0.681,0.576,0.083,2.581,1.701,0.736
16.75,0.932,0.681,0.576,0.083,2.581,1.701,0.736
17.0,0.932,0.681,0.576,0.083,2.581,1.701,0.736
17.25,0.932,0.681,0.576,0.083,2.581,1.701,0.736
17.5,0.932,0.681,0.576,0.083,2.581,1.701,0.736
17.75,0.932,0.681,0.576,0.084,2.581,1.701,0.736
18.0,0.932,0.682,0.577,0.083,2.581,1.701,0.736
18.25,0.932,0.682,0.577,0.084,2.581,1.701,0.736
18.5,0.932,0.682,0.577,0.083,2.581,1.701,0.736
18.75,0.933,0.682,0.578,0.083,2.581,1.701,0.736
19.0,0.932,0.682,0.578,0.084,2.581,1.701,0.736
19.25,0.933,0.681,0.578,0.084,2.615,1.731,0.747
19.5,0.932,0.682,0.578,0.084,2.615,1.731,0.747
19.75,0.932,0.682,0.58,0.084,2.615,1.731,0.747
20.0,0.932,0.682,0.58,0.084,2.581,1.701,0.736
20.25,0.932,0.682,0.58,0.083,2.581,1.701,0.736
20.5,0.932,0.682,0.58,0.084,2.581,1.701,0.736
20.75,0.932,0.682,0.58,0.084,2.581,1.701,0.736
21.0,0.932,0.682,0.581,0.084,2.615,1.731,0.747
21.25,0.932,0.682,0.58,0.084,2.581,1.701,0.736
21.5,0.933,0.682,0.581,0.084,2.615,1.731,0.747
21.75,0.932,0.682,0.581,0.084,2.615,1.731,0.747
22.0,0.933,0.682,0.582,0.084,2.615,1.731,0.747
22.25,0.933,0.682,0.582,0.084,2.649,1.76,0.758
22.5,0.933,0.682,0.582,0.085,2.615,1.731,0.747
22.75,0.932,0.682,0.582,0.084,2.615,1.731,0.747
23.0,0.932,0.682,0.582,0.085,2.615,1.731,0.747
23.25,0.933,0.682,0.582,0.084,2.615,1.731,0.747
23.5,0.932,0.682,0.583,0.084,2.615,1.731,0.747
23.75,0.933,0.682,0.582,0.084,2.615,1.731,0.747
24.0,0.932,0.682,0.583,0.085,2.615,1.731,0.747
24.25,0.933,0.682,0.584,0.084,2.615,1.731,0.747
24.5,0.932,0.682,0.585,0.085,2.513,1.643,0.714
24.75,0.933,0.683,0.585,0.085,2.615,1.731,0.747
25.0,0.932,0.683,0.585,0.084,2.581,1.701,0.736
25.25,0.933,0.682,0.585,0.084,2.615,1.731,0.747
25.5,0.933,0.682,0.586,0.085,2.615,1.731,0.747
25.75,0.933,0.682,0.586,0.085,2.615,1.731,0.747
26.0,0.932,0.682,0.585,0.084,2.615,1.731,0.747
26.25,0.932,0.682,0.586,0.085,2.649,1.76,0.758
26.5,0.932,0.682,0.586,0.085,2.615,1.731,0.747
26.75,0.933,0.682,0.586,0.085,2.649,1.76,0.758
27.0,0.932,0.682,0.588,0.085,2.615,1.731,0.747
27.25,0.933,0.682,0.588,0.085,2.649,1.76,0.758
27.5,0.933,0.682,0.588,0.086,2.649,1.76,0.758
27.75,0.932,0.683,0.588,0.085,2.649,1.76,0.758
28.0,0.933,0.682,0.588,0.085,2.649,1.76,0.758
28.25,0.933,0.682,0.589,0.085,2.649,1.76,0.758
28.5,0.933,0.683,0.589,0.085,2.649,1.76,0.758
28.75,0.933,0.682,0.59,0.085,2.649,1.76,0.758
29.0,0.933,0.682,0.59,0.086,2.649,1.76,0.758
29.25,0.933,0.682,0.59,0.085,2.649,1.76,0.758
29.5,0.933,0.682,0.59,0.085,2.649,1.76,0.758
29.75,0.932,0.682,0.589,0.085,2.649,1.76,0.758
30.0,0.933,0.682,0.59,0.085,2.649,1.76,0.758
30.25,0.933,0.683,0.59,0.085,2.649,1.76,0.758
30.5,0.932,0.682,0.59,0.086,2.649,1.76,0.758
30.75,0.933,0.683,0.591,0.085,2.649,1.76,0.758
31.0,0.932,0.683,0.591,0.085,2.649,1.76,0.758
31.25,0.932,0.683,0.591,0.086,2.649,1.76,0.758
31.5,0.933,0.683,0.591,0.085,2.615,1.731,0.747
31.75,0.933,0.683,0.592,0.085,2.683,1.79,0.769
32.0,0.932,0.683,0.592,0.085,2.649,1.76,0.758
32.25,0.933,0.683,0.592,0.085,2.615,1.731,0.747
32.5,0.932,0.683,0.593,0.085,2.718,1.82,0.78
32.75,0.933,0.682,0.593,0.085,2.649,1.76,0.758
33.0,0.932,0.683,0.593,0.085,2.649,1.76,0.758
33.25,0.933,0.683,0.594,0.086,2.683,1.79,0.769
33.5,0.933,0.682,0.593,0.087,2.683,1.79,0.769
33.75,0.933,0.683,0.594,0.087,2.683,1.79,0.769
34.0,0.933,0.684,0.596,0.087,2.649,1.76,0.758
34.25,0.933,0.683,0.594,0.086,2.649,1.76,0.758
34.5,0.933,0.684,0.594,0.086,2.649,1.76,0.758
34.75,0.933,0.683,0.596,0.087,2.683,1.79,0.769
35.0,0.933,0.683,0.596,0.087,2.649,1.76,0.758
35.25,0.932,0.683,0.596,0.086,2.683,1.79,0.769
35.5,0.933,0.683,0.596,0.087,2.683,1.79,0.769
35.75,0.933,0.683,0.596,0.086,2.683,1.79,0.769
36.0,0.933,0.683,0.596,0.086,2.649,1.76,0.758
36.25,0.933,0.683,0.596,0.086,2.649,1.76,0.758
36.5,0.933,0.684,0.596,0.087,2.649,1.76,0.758
36.75,0.933,0.684,0.597,0.087,2.649,1.76,0.758
37.0,0.933,0.684,0.597,0.087,2.718,1.82,0.78
37.25,0.933,0.684,0.598,0.087,2.683,1.79,0.769
37.5,0.933,0.684,0.598,0.087,2.683,1.79,0.769
37.75,0.933,0.684,0.598,0.087,2.683,1.79,0.769
38.0,0.933,0.684,0.599,0.087,2.683,1.79,0.769
38.25,0.933,0.684,0.599,0.087,2.718,1.82,0.78
38.5,0.933,0.684,0.598,0.087,2.683,1.79,0.769
38.75,0.933,0.684,0.598,0.087,2.649,1.76,0.758
39.0,0.933,0.684,0.599,0.086,2.683,1.79,0.769
39.25,0.933,0.684,0.599,0.087,2.683,1.79,0.769
39.5,0.933,0.684,0.599,0.087,2.683,1.79,0.769
39.75,0.933,0.684,0.6,0.087,2.683,1.79,0.769
40.0,0.933,0.684,0.6,0.087,2.683,1.79,0.769
40.25,0.934,0.683,0.6,0.087,2.683,1.79,0.769
40.5,0.933,0.684,0.601,0.087,2.718,1.82,0.78
40.75,0.934,0.684,0.601,0.088,2.683,1.79,0.769
41.0,0.933,0.684,0.602,0.087,2.683,1.79,0.769
41.25,0.933,0.684,0.602,0.088,2.683,1.79,0.769
41.5,0.933,0.685,0.602,0.087,2.683,1.79,0.769
41.75,0.934,0.685,0.604,0.088,2.683,1.79,0.769
42.0,0.934,0.685,0.603,0.087,2.718,1.82,0.78
