timestamp,NO2_GM,C2H5OH_GM,VOC_GM,CO_GM,CO_MiCS,C2H5OH_MiCS,VOC_MiCS
0.0,0.876,0.619,0.2,0.069,1.421,0.78,0.374
0.25,0.876,0.619,0.2,0.069,1.421,0.78,0.374
0.5,0.877,0.619,0.2,0.07,1.364,0.739,0.357
0.75,0.877,0.619,0.201,0.069,1.392,0.759,0.366
1.0,0.877,0.618,0.2,0.069,1.364,0.739,0.357
1.25,0.877,0.619,0.2,0.069,1.392,0.759,0.366
1.5,0.877,0.618,0.201,0.07,1.421,0.78,0.374
1.75,0.877,0.618,0.201,0.07,1.45,0.8,0.383
2.0,0.877,0.619,0.201,0.07,1.421,0.78,0.374
2.25,0.878,0.619,0.201,0.07,1.421,0.78,0.374
2.5,0.877,0.619,0.201,0.07,1.655,0.952,0.445
2.75,0.878,0.62,0.202,0.07,1.421,0.78,0.374
3.0,0.878,0.619,0.202,0.07,1.421,0.78,0.374
3.25,0.878,0.619,0.202,0.07,1.508,0.842,0.4
3.5,0.877,0.618,0.202,0.07,1.421,0.78,0.374
3.75,0.878,0.619,0.202,0.071,1.421,0.78,0.374
4.0,0.877,0.62,0.202,0.071,1.392,0.759,0.366
4.25,0.878,0.62,0.203,0.071,1.421,0.78,0.374
4.5,0.877,0.619,0.203,0.07,1.421,0.78,0.374
4.75,0.878,0.619,0.203,0.07,1.421,0.78,0.374
5.0,0.878,0.62,0.204,0.07,1.364,0.739,0.357
5.25,0.878,0.619,0.202,0.071,1.421,0.78,0.374
5.5,0.878,0.619,0.204,0.071,1.421,0.78,0.374
5.75,0.878,0.62,0.204,0.071,1.421,0.78,0.374
6.0,0.877,0.619,0.204,0.071,1.421,0.78,0.374
6.25,0.877,0.619,0.204,0.071,1.421,0.78,0.374
6.5,0.878,0.62,0.204,0.071,1.421,0.78,0.374
6.75,0.878,0.62,0.204,0.071,1.392,0.759,0.366
7.0,0.877,0.619,0.204,0.071,1.421,0.78,0.374
7.25,0.878,0.62,0.204,0.072,1.421,0.78,0.374
7.5,0.878,0.62,0.205,0.072,1.421,0.78,0.374
7.75,0.878,0.619,0.204,0.071,1.421,0.78,0.374
8.0,0.878,0.62,0.205,0.071,1.421,0.78,0.374
8.25,0.877,0.62,0.205,0.071,1.421,0.78,0.374
8.5,0.878,0.62,0.205,0.071,1.421,0.78,0.374
8.75,0.877,0.62,0.205,0.072,1.421,0.78,0.374
9.0,0.879,0.62,0.205,0.071,1.421,0.78,0.374
9.25,0.878,0.619,0.205,0.071,1.421,0.78,0.374
9.5,0.878,0.62,0.205,0.071,1.421,0.78,0.374
9.75,0.877,0.62,0.206,0.071,1.421,0.78,0.374
